attendance,assignment,quiz,midterm,study_hours,previous_gpa,participation,final_score
95,90,88,92,12,3.8,95,94
90,85,82,88,10,3.5,90,89
85,80,78,82,8,3.2,85,83
80,75,72,78,7,3.0,80,78
75,70,68,72,6,2.8,75,72
70,65,62,68,5,2.5,70,67
65,60,58,62,4,2.2,65,62
60,55,52,58,3,2.0,60,57
55,50,48,52,2,1.8,55,51
98,95,94,96,14,4.0,98,97
92,88,90,91,11,3.7,92,93
88,82,85,86,9,3.4,88,87
83,78,80,81,8,3.1,82,82
78,73,75,76,6,2.9,78,76
72,68,70,69,5,2.6,72,70
68,63,65,64,4,2.3,68,65
63,58,60,59,3,2.1,62,60
58,52,55,54,2,1.9,58,55
50,45,48,47,1,1.6,50,48
94,91,89,93,13,3.9,94,95
87,84,81,85,9,3.3,86,85
79,76,74,77,7,3.0,79,78
73,69,66,71,5,2.7,74,70
67,61,59,63,4,2.4,66,64
